Transformer_ID,Age_Years,Oil_Temperature_C,Winding_Temperature_C,Ambient_Temperature_C,Voltage_kV,Current_A,Load_Percentage,Oil_Level_Percentage,Moisture_ppm,Dissolved_Gas_ppm,Vibration_mm_s,Partial_Discharge_pC,Cooling_Status,Health_Status
T0247,6,81.5,91.3,29,11.0,430.0,94,96.2,12.8,287.0,2.65,38.4,Oil Pump Running,Warning
T0248,2,70.2,77.4,38,11.0,236.7,53,96.5,13.5,157.4,1.96,22.5,Normal,Healthy
T0249,23,72.6,84.8,19,11.0,213.6,47,91.0,26.6,350.9,3.74,66.4,Normal,Warning
T0250,22,82.1,90.9,20,11.0,326.3,73,92.5,25.1,428.4,4.02,65.2,Normal,Critical
T0251,22,89.4,102.6,28,11.0,436.9,96,93.2,24.5,434.3,4.56,76.5,Fan Running,Critical
T0252,15,81.6,92.3,30,11.0,322.8,73,94.6,19.5,340.3,3.41,59.5,Normal,Warning
T0253,30,74.3,82.7,24,11.0,200.2,45,87.3,35.8,441.4,4.2,80.5,Fan Running,Critical
T0254,11,77.0,87.4,23,11.0,319.1,70,95.7,16.2,261.2,2.49,43.8,Oil Pump Running,Warning
T0255,10,67.1,79.0,34,11.0,218.9,47,96.0,14.5,252.6,2.77,33.5,Normal,Healthy
T0256,1,70.8,83.8,24,11.0,312.7,69,100.0,8.1,177.6,2.3,26.1,Fan Running,Healthy
T0257,20,83.1,96.0,39,11.0,355.7,78,89.4,25.7,412.6,4.19,63.6,Fan Running,Critical
T0258,28,71.6,82.1,18,11.0,178.8,38,86.1,32.1,409.4,3.57,63.6,Normal,Warning
T0259,7,63.5,72.4,22,11.0,204.5,46,97.6,16.8,181.2,2.61,30.3,Normal,Healthy
T0260,24,84.5,94.4,37,11.0,298.5,68,90.6,29.1,419.0,4.09,70.7,Normal,Critical
T0261,17,77.6,83.7,34,11.0,314.6,70,93.5,24.2,341.7,3.82,53.0,Normal,Warning
T0262,30,72.4,82.8,18,11.0,229.3,52,88.9,31.6,450.4,4.33,82.3,Normal,Critical
T0263,17,80.6,88.6,18,11.0,363.2,79,92.7,23.4,358.7,3.8,58.7,Normal,Warning
T0264,26,72.7,78.8,18,11.0,220.9,48,91.2,30.8,387.0,3.49,66.3,Fan Running,Warning
T0265,22,77.5,83.7,38,11.0,286.8,63,89.4,25.7,375.6,3.59,61.5,Fan Running,Warning
T0266,7,70.9,84.4,36,11.0,251.8,55,99.0,12.4,208.0,1.96,25.6,Normal,Healthy
T0267,6,79.9,86.3,28,11.0,418.5,92,98.9,15.2,256.8,3.11,40.3,Fan Running,Warning
T0268,28,83.4,95.8,22,11.0,322.9,73,90.4,29.2,454.2,4.31,77.5,Normal,Critical
T0269,15,83.0,91.8,39,11.0,389.2,85,94.6,23.3,388.8,3.05,53.5,Normal,Warning
T0270,2,81.5,92.1,22,11.0,448.7,99,99.8,7.9,281.6,2.27,30.1,Fan Running,Warning
T0271,5,78.7,86.5,34,11.0,401.1,89,98.2,13.3,297.6,2.76,42.6,Normal,Warning
T0272,12,74.2,82.4,24,11.0,278.3,63,93.5,16.0,258.6,2.87,43.2,Oil Pump Running,Healthy
T0273,12,62.9,69.2,26,11.0,161.3,36,93.6,17.6,226.6,2.85,39.5,Normal,Healthy
T0274,13,79.4,88.5,31,11.0,331.9,75,95.6,21.7,338.2,3.5,51.8,Normal,Warning
T0275,20,81.1,93.0,34,11.0,309.4,67,93.1,26.0,349.2,3.68,55.5,Normal,Warning
T0276,13,82.9,92.4,40,11.0,344.7,76,94.1,19.9,320.4,3.29,49.9,Normal,Warning
T0277,19,83.8,94.8,35,11.0,377.4,83,91.3,25.5,389.6,3.78,65.9,Normal,Warning
T0278,3,75.3,87.4,38,11.0,279.7,63,100.0,13.5,186.9,2.22,27.3,Normal,Warning
T0279,3,80.2,90.4,42,11.0,369.5,81,97.0,9.4,251.3,2.4,33.6,Normal,Warning
T0280,11,82.2,94.8,30,11.0,358.5,81,93.4,16.3,288.2,2.95,51.7,Oil Pump Running,Warning
T0281,10,66.8,75.1,32,11.0,206.1,46,93.6,17.8,245.8,2.12,35.5,Normal,Healthy
T0282,22,82.6,93.9,22,11.0,366.5,81,90.8,28.4,407.2,4.01,63.3,Normal,Critical
T0283,2,68.6,78.9,36,11.0,263.2,57,97.5,9.2,170.3,1.98,22.5,Normal,Healthy
T0284,7,82.2,90.5,22,11.0,405.0,89,98.8,15.9,280.5,2.48,45.5,Fan Running,Warning
T0285,14,77.7,86.7,38,11.0,302.8,67,96.0,18.3,342.3,3.28,47.9,Normal,Warning
T0286,11,66.7,75.7,20,11.0,202.9,45,95.1,20.2,255.4,2.05,38.2,Fan Running,Healthy
T0287,30,91.0,100.8,32,11.0,411.2,90,87.2,32.9,520.7,5.04,90.7,Normal,Critical
T0288,13,70.5,78.9,35,11.0,177.3,40,93.7,19.2,225.4,2.87,40.4,Normal,Healthy
T0289,4,68.0,75.8,33,11.0,206.3,46,99.5,10.4,162.1,2.26,24.0,Fan Running,Healthy
T0290,27,81.0,93.5,36,11.0,240.0,52,86.9,29.6,415.1,3.43,77.5,Normal,Critical
T0291,17,68.3,76.3,26,11.0,212.7,46,93.0,22.7,297.2,2.57,46.8,Fan Running,Healthy
T0292,26,80.4,87.5,31,11.0,296.8,67,89.9,32.4,443.4,4.24,68.9,Normal,Critical
T0293,7,66.5,72.6,32,11.0,177.6,41,99.0,16.5,164.1,1.84,27.0,Normal,Healthy
T0294,23,87.2,99.0,24,11.0,413.8,93,88.8,25.5,477.5,3.9,70.7,Normal,Critical
T0295,27,92.4,105.8,37,11.0,442.0,98,90.2,30.6,516.4,4.8,82.2,Normal,Critical
T0296,18,73.2,84.9,23,11.0,238.8,53,92.1,21.6,301.5,2.77,49.8,Normal,Warning
T0297,23,86.3,92.7,32,11.0,403.6,89,88.0,29.4,435.6,3.93,75.3,Normal,Critical
T0298,23,75.7,83.8,35,11.0,243.8,54,88.9,30.1,387.9,3.35,69.9,Normal,Warning
T0299,13,74.2,84.6,22,11.0,317.5,72,94.1,20.8,309.8,3.25,44.1,Normal,Warning
T0300,4,75.7,89.2,39,11.0,274.9,61,96.9,11.3,217.0,2.18,33.4,Normal,Warning
T0301,7,77.7,88.5,33,11.0,315.7,70,94.6,12.4,236.3,2.93,41.0,Normal,Warning
T0302,19,68.5,75.3,27,11.0,167.5,39,90.4,22.1,296.0,2.72,49.3,Fan Running,Healthy
T0303,8,76.6,88.9,28,11.0,361.3,81,94.1,15.8,257.7,2.89,45.5,Oil Pump Running,Warning
T0304,13,64.1,74.2,32,11.0,169.1,39,95.0,17.2,252.7,2.41,37.6,Normal,Healthy
T0305,12,65.6,78.4,23,11.0,213.0,46,94.6,16.5,227.6,2.92,34.3,Fan Running,Healthy
T0306,9,68.8,76.8,35,11.0,226.1,50,93.6,14.7,257.0,2.21,35.2,Normal,Healthy
T0307,30,91.3,98.1,25,11.0,439.2,99,85.3,34.8,550.1,4.64,94.4,Normal,Critical
T0308,25,76.7,90.7,23,11.0,241.8,54,90.1,26.7,402.2,3.41,69.8,Normal,Warning
T0309,8,85.7,92.2,25,11.0,445.9,100,96.8,18.3,292.5,3.26,50.0,Normal,Warning
T0310,11,82.9,90.3,20,11.0,420.1,94,97.3,19.5,309.9,3.56,47.1,Oil Pump Running,Warning
T0311,22,75.2,87.4,23,11.0,238.3,54,92.8,27.7,380.5,3.12,55.2,Fan Running,Warning
T0312,2,78.4,90.5,33,11.0,348.7,77,97.2,11.4,234.7,2.55,23.3,Normal,Warning
T0313,19,88.7,100.7,23,11.0,435.2,98,93.5,26.8,450.3,4.22,73.2,Oil Pump Running,Critical
T0314,6,81.5,93.8,31,11.0,383.9,84,96.1,16.6,269.9,3.13,33.7,Normal,Warning
T0315,25,77.2,86.9,25,11.0,288.3,65,89.5,31.4,431.1,4.12,69.6,Fan Running,Critical
T0316,26,89.2,98.4,38,11.0,344.4,78,89.9,31.8,446.4,4.32,81.3,Normal,Critical
T0317,1,81.7,95.3,27,11.0,442.6,97,99.0,9.3,232.0,2.23,33.2,Normal,Warning
T0318,12,85.9,94.3,30,11.0,416.4,94,93.6,19.8,344.5,3.52,57.7,Normal,Warning
T0319,7,65.8,79.0,39,11.0,178.2,40,95.9,12.5,170.0,1.94,31.6,Fan Running,Healthy
T0320,10,81.2,91.3,33,11.0,345.3,75,93.9,19.0,269.7,2.92,37.5,Normal,Warning
T0321,4,80.8,92.0,25,11.0,422.3,93,98.8,15.1,280.1,2.95,39.6,Normal,Warning
T0322,30,86.9,93.6,42,11.0,303.5,67,87.2,35.7,465.7,4.51,83.3,Fan Running,Critical
T0323,17,73.7,83.7,39,11.0,186.8,42,95.1,19.9,314.1,3.08,48.8,Fan Running,Warning
T0324,10,91.8,103.7,42,11.0,454.0,100,93.2,16.0,318.2,3.72,56.6,Normal,Warning
T0325,7,84.1,93.2,36,11.0,454.0,100,97.4,13.3,325.7,2.89,46.1,Fan Running,Warning
T0326,18,72.5,83.9,31,11.0,200.6,45,94.6,24.7,321.5,2.84,46.6,Oil Pump Running,Warning
T0327,16,81.2,88.8,19,11.0,360.4,79,90.9,20.6,359.2,3.61,62.5,Oil Pump Running,Warning
T0328,10,82.6,90.1,30,11.0,361.5,81,97.7,15.2,291.3,2.94,40.7,Normal,Warning
T0329,12,77.9,91.6,30,11.0,333.8,75,93.2,21.1,307.0,3.36,49.8,Normal,Warning
T0330,2,72.3,82.1,22,11.0,315.9,70,99.6,12.1,186.5,2.05,31.9,Oil Pump Running,Healthy
T0331,26,73.2,85.4,27,11.0,217.7,50,90.7,30.2,391.2,4.16,65.5,Normal,Critical
T0332,29,74.6,86.0,20,11.0,210.1,47,89.4,29.9,412.4,4.08,79.7,Normal,Critical
T0333,25,89.3,101.6,30,11.0,387.9,85,89.0,29.0,450.2,4.6,79.8,Normal,Critical
T0334,18,88.9,102.1,41,11.0,385.6,87,91.5,20.8,388.8,3.74,68.2,Normal,Warning
T0335,19,83.7,95.6,31,11.0,391.6,86,92.8,26.3,379.9,3.55,69.8,Normal,Warning
T0336,17,79.3,91.2,21,11.0,324.6,71,93.4,24.9,329.9,3.58,59.4,Oil Pump Running,Warning
T0337,29,74.8,85.6,26,11.0,193.6,43,88.4,34.6,404.6,3.76,73.3,Normal,Warning
T0338,12,62.4,76.1,18,11.0,193.5,44,94.5,20.2,244.8,2.55,44.9,Oil Pump Running,Healthy
T0339,18,67.3,80.0,37,11.0,169.3,39,90.9,24.2,288.4,2.79,50.1,Normal,Healthy
T0340,18,80.1,92.6,24,11.0,320.1,71,90.0,25.1,333.7,3.48,57.8,Normal,Warning
T0341,21,71.5,80.7,26,11.0,207.2,46,91.5,24.2,364.1,3.74,61.3,Oil Pump Running,Healthy
T0342,11,75.0,84.9,39,11.0,295.6,67,94.9,18.9,296.5,2.81,41.5,Normal,Healthy
T0343,4,67.4,74.9,30,11.0,255.8,56,98.0,11.8,173.9,2.29,22.4,Normal,Healthy
T0344,7,78.2,91.8,35,11.0,330.7,72,97.8,15.9,227.8,2.35,30.8,Oil Pump Running,Warning
T0345,9,81.1,91.6,35,11.0,357.1,80,95.2,13.8,304.4,3.08,42.5,Normal,Warning
T0346,26,94.6,103.3,40,11.0,424.2,93,88.4,32.1,485.2,4.1,79.3,Normal,Critical
T0347,16,68.9,76.9,22,11.0,214.2,48,92.4,22.7,322.3,2.65,45.0,Oil Pump Running,Healthy
T0348,14,83.5,96.6,42,11.0,377.0,84,92.1,17.9,361.7,3.4,48.6,Normal,Warning
T0349,15,68.7,79.3,42,11.0,186.6,40,95.3,20.0,273.6,2.68,47.0,Normal,Healthy
T0350,1,70.4,79.5,25,11.0,268.2,61,99.6,7.6,154.0,1.91,22.9,Fan Running,Healthy
T0351,25,71.5,78.9,20,11.0,186.9,41,91.3,31.9,385.0,3.51,68.7,Oil Pump Running,Warning
T0352,5,82.1,88.6,21,11.0,436.8,98,99.9,11.4,279.5,3.14,45.1,Normal,Warning
T0353,8,71.3,77.6,21,11.0,262.8,60,95.0,18.0,223.2,2.64,41.1,Oil Pump Running,Healthy
T0354,30,80.8,90.5,31,11.0,305.7,68,89.8,34.6,498.9,4.02,77.3,Oil Pump Running,Critical
T0355,6,85.6,95.7,37,11.0,457.3,100,96.5,16.1,274.3,2.57,45.4,Normal,Warning
T0356,17,72.2,83.5,35,11.0,199.8,44,92.5,23.6,301.6,2.68,44.6,Oil Pump Running,Warning
T0357,26,77.5,88.7,32,11.0,269.8,61,88.7,27.5,450.6,3.99,69.9,Normal,Critical
T0358,3,76.3,89.1,41,11.0,286.1,65,97.6,10.2,215.7,1.86,28.4,Normal,Warning
T0359,25,65.7,72.1,24,11.0,160.4,35,90.8,27.3,353.1,3.87,67.5,Oil Pump Running,Warning
T0360,21,72.6,85.3,24,11.0,206.0,45,88.8,26.9,361.0,3.22,61.9,Normal,Warning
T0361,20,85.1,92.2,27,11.0,414.1,91,93.2,22.2,414.9,3.66,64.4,Fan Running,Warning
T0362,25,84.5,92.5,37,11.0,340.6,76,87.1,27.4,465.2,4.5,72.1,Normal,Critical
T0363,29,74.5,81.4,28,11.0,207.7,45,87.0,33.0,412.0,3.95,79.1,Normal,Critical
T0364,7,66.5,76.9,34,11.0,191.5,41,96.2,17.1,203.4,2.51,22.5,Normal,Healthy
T0365,7,63.4,72.9,27,11.0,155.9,36,98.9,15.3,188.9,1.71,32.1,Normal,Healthy
T0366,25,79.7,93.3,30,11.0,290.5,66,91.3,29.8,429.1,4.09,74.4,Normal,Critical
T0367,21,69.6,78.1,20,11.0,186.5,43,88.9,22.9,327.7,2.92,51.4,Fan Running,Healthy
T0368,21,83.9,93.5,34,11.0,321.4,70,89.9,25.2,401.8,3.4,70.9,Normal,Warning
T0369,28,85.4,93.1,32,11.0,349.2,78,89.7,29.0,458.5,4.26,78.8,Oil Pump Running,Critical
T0370,1,64.2,71.5,24,11.0,200.5,44,99.5,10.8,118.8,1.34,11.5,Normal,Healthy
T0371,13,68.2,76.0,26,11.0,200.0,46,91.9,21.5,239.8,3.07,39.5,Normal,Healthy
T0372,5,71.9,79.3,29,11.0,304.1,67,99.4,15.5,203.9,2.6,37.2,Normal,Healthy
T0373,8,75.7,87.8,38,11.0,271.2,59,95.0,17.8,223.8,2.03,30.0,Fan Running,Warning
T0374,27,79.5,89.3,29,11.0,292.3,65,86.7,30.9,439.5,4.01,74.8,Normal,Critical
T0375,30,89.0,96.0,25,11.0,393.6,89,86.8,32.8,544.2,4.78,82.6,Normal,Critical
T0376,16,78.7,91.7,41,11.0,286.4,62,94.9,19.5,350.6,3.19,48.7,Normal,Warning
T0377,17,73.1,82.9,28,11.0,278.5,62,94.9,24.3,311.9,3.52,55.8,Normal,Warning
T0378,7,75.1,86.7,26,11.0,364.1,81,95.5,14.7,279.7,3.04,45.0,Fan Running,Warning
T0379,22,72.9,80.8,41,11.0,175.5,39,91.2,27.5,316.7,3.53,63.0,Normal,Warning
T0380,28,79.9,86.1,29,11.0,260.3,58,89.4,31.1,457.0,3.86,81.1,Normal,Critical
T0381,10,81.0,94.5,41,11.0,335.9,75,96.4,14.1,316.9,2.66,43.7,Oil Pump Running,Warning
T0382,28,96.4,104.1,41,11.0,443.0,97,86.8,31.2,502.6,4.96,83.6,Normal,Critical
T0383,2,67.6,78.9,31,11.0,248.9,57,98.1,8.6,193.7,1.51,24.0,Normal,Healthy
T0384,20,89.6,101.3,32,11.0,421.7,95,90.2,22.7,457.6,3.72,65.3,Oil Pump Running,Warning
T0385,5,79.9,86.4,36,11.0,337.7,76,95.8,13.5,239.1,2.43,39.3,Normal,Warning
T0386,28,83.7,95.4,22,11.0,304.0,69,88.0,33.3,486.0,4.6,72.6,Normal,Critical
T0387,28,84.9,94.0,22,11.0,392.8,88,89.1,32.6,501.0,4.51,83.9,Oil Pump Running,Critical
T0388,19,88.4,102.1,39,11.0,364.1,82,89.8,26.6,398.2,3.45,66.6,Normal,Warning
T0389,21,84.3,94.5,25,11.0,394.3,87,89.0,27.2,431.5,3.95,71.8,Normal,Critical
T0390,15,82.6,94.3,33,11.0,353.4,78,91.9,23.8,363.1,3.11,54.0,Normal,Warning
T0391,18,87.8,101.0,31,11.0,382.7,86,93.5,22.6,401.8,3.96,58.5,Normal,Critical
T0392,21,76.2,86.3,24,11.0,316.7,69,91.7,26.7,386.2,3.64,62.0,Oil Pump Running,Warning
T0393,12,82.4,94.9,29,11.0,408.1,90,95.6,20.3,333.6,2.97,54.2,Normal,Warning
T0394,27,81.7,93.3,35,11.0,282.0,61,87.2,32.2,420.1,3.81,78.0,Oil Pump Running,Critical
T0395,15,67.9,74.1,39,11.0,180.6,40,94.6,19.6,244.2,2.27,39.3,Normal,Healthy
T0396,1,66.6,79.8,23,11.0,292.6,64,97.8,6.9,152.9,1.63,18.8,Fan Running,Healthy
T0397,11,76.0,85.3,20,11.0,355.2,79,93.9,15.1,283.0,2.74,41.9,Oil Pump Running,Healthy
T0398,2,72.4,85.3,40,11.0,303.3,68,98.7,8.4,202.3,2.58,29.9,Normal,Healthy
T0399,27,91.3,103.0,40,11.0,396.2,89,90.2,32.4,463.7,4.57,78.2,Fan Running,Critical
T0400,26,81.5,94.1,32,11.0,287.6,64,88.8,26.9,454.0,3.74,77.1,Fan Running,Warning
T0401,8,77.5,87.7,42,11.0,303.3,68,94.1,13.8,227.4,2.63,34.1,Fan Running,Warning
T0402,20,72.5,81.0,24,11.0,263.6,58,90.3,22.9,339.6,3.66,63.2,Normal,Warning
T0403,13,75.4,86.3,28,11.0,326.4,74,92.0,19.5,297.1,3.51,54.6,Fan Running,Warning
T0404,1,70.7,80.8,24,11.0,342.3,76,98.4,11.1,203.8,2.44,21.2,Normal,Healthy
T0405,20,86.9,94.9,30,11.0,407.7,90,90.1,23.9,418.6,4.14,72.0,Normal,Critical
T0406,18,82.2,89.0,32,11.0,336.8,75,93.0,22.1,342.2,3.97,65.3,Normal,Critical
T0407,3,61.6,68.2,32,11.0,179.5,39,99.7,11.0,123.1,1.64,13.9,Normal,Healthy
T0408,2,65.9,77.5,27,11.0,231.1,52,100.0,11.2,158.4,1.64,19.6,Fan Running,Healthy
T0409,23,82.3,90.2,28,11.0,372.0,81,88.4,26.0,446.4,4.39,77.1,Fan Running,Critical
T0410,8,75.4,84.5,23,11.0,314.7,71,97.7,16.9,286.9,2.67,43.6,Oil Pump Running,Healthy
T0411,11,62.5,72.2,25,11.0,178.8,38,93.3,19.9,215.3,2.07,38.1,Normal,Healthy
T0412,22,82.9,88.9,24,11.0,391.7,88,89.9,28.3,421.3,3.66,65.9,Normal,Critical
T0413,8,77.0,85.5,28,11.0,312.4,69,95.8,14.1,284.6,2.2,40.5,Oil Pump Running,Healthy
T0414,25,73.5,85.4,25,11.0,188.6,41,91.1,27.5,381.4,3.43,68.2,Normal,Warning
T0415,8,80.3,86.7,35,11.0,357.3,78,94.7,14.3,292.5,3.11,46.8,Oil Pump Running,Warning
T0416,21,88.4,98.1,19,11.0,417.9,93,92.3,27.8,449.8,3.95,65.7,Normal,Critical
T0417,11,60.6,67.1,18,11.0,164.1,38,96.3,16.0,223.7,2.27,38.8,Fan Running,Healthy
T0418,10,85.7,94.4,38,11.0,432.9,95,96.7,16.1,354.9,3.32,56.5,Oil Pump Running,Warning
T0419,3,81.1,94.2,33,11.0,416.6,92,96.8,10.6,245.8,3.04,37.6,Normal,Warning
T0420,21,70.8,81.4,36,11.0,167.9,39,89.3,28.8,309.0,2.99,55.4,Normal,Warning
T0421,4,60.9,73.9,25,11.0,196.9,42,97.6,11.5,176.6,2.26,18.2,Normal,Healthy
T0422,11,73.1,85.2,34,11.0,253.2,58,97.0,18.4,258.7,3.0,46.1,Normal,Healthy
T0423,6,66.3,75.2,18,11.0,227.3,49,95.6,10.9,198.1,2.51,33.4,Normal,Healthy
T0424,17,74.1,81.2,32,11.0,245.1,54,94.2,22.1,324.1,2.89,48.8,Fan Running,Warning
T0425,7,81.5,93.7,34,11.0,427.8,94,98.7,12.6,315.0,3.01,40.2,Normal,Warning
T0426,8,74.8,82.4,37,11.0,257.9,57,97.4,16.9,246.7,2.63,31.6,Fan Running,Healthy
T0427,30,74.8,80.8,34,11.0,190.4,41,89.3,35.4,425.6,3.86,71.5,Normal,Critical
T0428,21,81.1,92.9,24,11.0,358.9,78,89.7,28.0,397.4,3.77,64.4,Normal,Critical
T0429,15,67.7,76.2,20,11.0,238.6,53,91.9,20.9,292.4,3.36,47.2,Normal,Healthy
T0430,16,75.7,85.8,34,11.0,270.0,60,91.8,20.9,313.0,2.74,46.3,Fan Running,Warning
T0431,11,82.3,92.0,29,11.0,387.9,85,95.3,15.0,337.1,3.13,49.1,Fan Running,Warning
T0432,14,78.3,89.6,37,11.0,332.4,73,91.4,21.3,333.6,3.35,50.1,Normal,Warning
T0433,19,77.7,91.2,36,11.0,284.3,63,91.4,22.3,332.9,3.78,62.3,Normal,Warning
T0434,20,88.2,96.4,28,11.0,432.3,96,89.1,25.3,449.5,3.89,76.0,Normal,Critical
T0435,11,81.0,91.5,26,11.0,383.7,84,92.7,19.6,292.0,3.41,50.4,Normal,Warning
T0436,9,77.4,84.7,28,11.0,322.5,71,93.5,14.4,245.6,3.03,36.2,Normal,Healthy
T0437,8,78.0,89.9,19,11.0,408.5,90,98.4,18.1,303.1,3.37,39.2,Normal,Warning
T0438,14,67.1,80.0,24,11.0,178.2,40,91.9,22.4,275.2,2.72,47.7,Normal,Healthy
T0439,3,62.9,69.1,19,11.0,250.8,55,99.0,9.1,159.7,1.72,25.4,Normal,Healthy
T0440,12,80.5,89.8,21,11.0,404.1,90,94.6,15.7,350.4,3.67,48.2,Normal,Warning
T0441,26,72.0,83.0,29,11.0,195.5,42,90.5,30.1,407.1,3.19,65.3,Normal,Warning
T0442,20,85.8,95.9,38,11.0,345.4,78,89.2,26.7,397.0,3.75,67.3,Normal,Warning
T0443,23,71.0,84.3,38,11.0,160.7,35,92.5,29.5,331.7,3.46,54.0,Fan Running,Warning
T0444,24,88.8,98.6,39,11.0,392.8,87,92.3,26.2,477.7,3.94,82.0,Normal,Critical
T0445,26,75.3,86.8,39,11.0,154.6,35,90.4,28.4,376.7,3.21,68.6,Fan Running,Critical
T0446,9,85.1,97.2,20,11.0,430.9,97,97.2,16.6,348.4,3.26,47.7,Normal,Warning
T0447,3,66.0,74.2,36,11.0,227.8,52,100.0,11.1,187.6,1.74,26.1,Normal,Healthy
T0448,4,82.7,91.1,19,11.0,434.0,98,96.7,13.9,258.3,2.81,38.9,Oil Pump Running,Warning
T0449,14,80.3,93.2,42,11.0,313.4,70,96.2,20.0,297.1,3.36,45.9,Normal,Warning
T0450,2,67.0,79.8,37,11.0,235.2,51,97.5,10.6,158.7,1.43,15.4,Normal,Healthy
T0451,7,86.3,93.0,32,11.0,424.2,95,98.4,15.3,327.4,3.12,47.4,Normal,Warning
T0452,27,82.1,89.4,34,11.0,312.9,68,88.6,32.3,431.0,4.51,72.3,Oil Pump Running,Critical
T0453,10,70.3,80.6,42,11.0,199.2,43,95.2,14.6,250.8,2.64,36.8,Fan Running,Healthy
T0454,8,85.5,95.7,38,11.0,418.1,94,95.1,15.5,285.2,2.89,50.8,Normal,Warning
T0455,29,93.1,101.2,33,11.0,425.4,95,88.2,33.8,525.4,4.45,93.0,Normal,Critical
T0456,13,68.6,76.9,21,11.0,231.3,52,94.7,17.5,290.2,2.59,42.6,Normal,Healthy
T0457,15,84.6,98.2,38,11.0,372.0,82,92.8,23.7,362.0,3.46,60.8,Normal,Warning
T0458,12,70.3,84.0,24,11.0,261.4,59,97.1,16.0,248.6,2.84,39.4,Oil Pump Running,Healthy
T0459,22,77.8,89.3,21,11.0,299.3,65,93.2,27.7,402.8,3.24,59.1,Fan Running,Warning
T0460,3,76.3,87.9,26,11.0,337.7,75,97.6,12.7,222.0,2.05,31.0,Normal,Warning
T0461,29,72.9,79.9,25,11.0,217.4,48,89.1,34.9,436.5,3.87,80.3,Normal,Critical
T0462,3,79.3,91.2,37,11.0,396.8,89,96.5,10.6,257.7,2.98,40.6,Fan Running,Warning
T0463,20,84.1,95.9,35,11.0,378.8,84,90.8,27.4,393.3,3.53,62.3,Normal,Warning
T0464,4,66.1,76.1,36,11.0,226.2,50,98.2,11.7,182.6,1.57,18.8,Fan Running,Healthy
T0465,5,59.0,71.5,25,11.0,153.4,35,95.5,12.9,153.3,1.69,25.4,Normal,Healthy
T0466,22,88.7,96.6,19,11.0,406.6,92,92.8,24.8,429.6,4.39,76.4,Normal,Critical
T0467,21,86.1,92.7,20,11.0,405.0,89,90.8,26.9,408.3,3.95,75.8,Normal,Critical
T0468,23,91.4,102.1,34,11.0,400.5,89,92.7,28.8,462.5,4.46,78.0,Normal,Critical
T0469,17,75.8,86.0,19,11.0,350.5,77,91.2,22.0,347.7,3.23,55.5,Fan Running,Warning
T0470,3,77.4,85.2,25,11.0,421.4,94,96.8,8.9,269.2,3.1,33.6,Normal,Healthy
T0471,22,83.8,93.0,39,11.0,349.5,77,90.4,24.5,388.2,3.93,75.0,Normal,Critical
T0472,13,86.2,93.0,34,11.0,443.3,97,94.6,19.1,337.8,3.59,61.7,Normal,Warning
T0473,5,80.2,91.5,20,11.0,424.4,96,95.9,15.9,295.2,3.11,44.1,Normal,Warning
T0474,4,68.7,79.3,28,11.0,296.1,65,97.1,13.4,202.0,2.44,26.1,Fan Running,Healthy
T0475,15,61.8,72.1,23,11.0,156.4,35,92.2,23.4,269.5,2.42,37.0,Fan Running,Healthy
T0476,3,70.0,76.4,39,11.0,281.2,63,100.0,14.4,185.1,2.51,30.1,Oil Pump Running,Healthy
T0477,15,75.4,83.0,38,11.0,273.6,60,91.6,20.1,313.5,3.49,51.1,Oil Pump Running,Warning
T0478,5,63.0,74.3,34,11.0,161.5,37,97.7,11.7,180.2,2.05,26.3,Oil Pump Running,Healthy
T0479,16,87.9,98.3,25,11.0,446.7,100,94.8,19.0,385.4,3.64,65.9,Fan Running,Warning
T0480,28,84.1,90.8,29,11.0,330.8,74,89.1,33.4,497.0,4.26,82.8,Normal,Critical
T0481,21,67.2,73.7,29,11.0,164.3,37,88.8,28.6,325.5,3.3,60.7,Normal,Warning
T0482,11,82.3,94.7,28,11.0,431.3,95,95.0,17.0,326.2,3.3,54.8,Normal,Warning
T0483,28,89.5,96.8,31,11.0,404.0,91,89.0,32.7,493.1,4.21,87.1,Normal,Critical
T0484,11,71.4,80.9,19,11.0,251.6,57,96.5,17.0,241.2,3.04,39.8,Fan Running,Healthy
T0485,20,66.8,74.3,26,11.0,171.0,37,92.7,22.7,303.3,2.73,46.6,Normal,Healthy
T0486,7,68.5,76.1,18,11.0,293.7,64,98.7,13.0,243.2,2.54,32.4,Normal,Healthy
T0487,19,70.8,77.7,28,11.0,202.4,46,91.0,23.7,313.8,3.5,48.3,Fan Running,Healthy
T0488,8,82.3,93.0,38,11.0,398.5,89,94.0,17.2,316.6,2.77,47.8,Fan Running,Warning
T0489,15,65.8,75.5,18,11.0,186.1,41,91.9,21.6,270.2,3.14,39.4,Normal,Healthy
T0490,9,88.6,101.6,42,11.0,406.5,91,97.8,17.4,286.0,3.45,42.7,Normal,Warning
T0491,14,87.7,101.1,31,11.0,443.1,99,93.2,21.5,354.0,3.65,54.2,Normal,Warning
T0492,28,79.6,88.7,35,11.0,280.1,61,88.8,31.8,428.4,4.34,77.3,Normal,Critical
T0493,27,85.3,95.6,21,11.0,361.7,81,87.8,32.7,462.3,4.29,85.7,Normal,Critical
T0494,8,60.9,72.2,30,11.0,160.1,35,96.0,14.8,174.0,2.33,27.4,Normal,Healthy
T0495,27,72.9,80.7,41,11.0,196.4,42,89.6,31.7,393.8,3.69,64.2,Normal,Warning
